COURSE,MODULE,LINK
,2,https://app.heygen.com/videos/e51f3112287c488291cf5b2319c80853
,3,https://app.heygen.com/videos/e51f3112287c488291cf5b2319c80853
,4,https://app.heygen.com/videos/c36e73e93d6749c580a4e5d957e539d3
,5,https://app.heygen.com/videos/889f90dd12d84755a0b9674fa3c603b8
,6,https://app.heygen.com/videos/889f90dd12d84755a0b9674fa3c603b8
,7,https://app.heygen.com/videos/d7b310c87f9d4bc0b9ba6bd1e739c8f4
,,
How to Submit Music to Blogs & Playlists,1,https://app.heygen.com/videos/7ffe76fd4eda4027917a89ccba81d83a
,2,https://app.heygen.com/videos/33b97af46b244ee1b5eec9a0f5120940
,3,https://app.heygen.com/videos/b007d342d228498eb8a8b5b08fcfc7b3
,4,https://app.heygen.com/videos/a2688c303ad94eb6876d1d711b7b4eb3
,5,https://app.heygen.com/videos/d9e081e5c8e846a495535c16c45b7333
,6,https://app.heygen.com/videos/72765df9e87b47c6887aec1aaa7b305c
,7,https://app.heygen.com/videos/72765df9e87b47c6887aec1aaa7b305c
,8,https://app.heygen.com/videos/2f9eaf4e6a9b4773912a149297748092
,,
How to License Your Music,1,https://app.heygen.com/videos/2fc5984b3e6a42cfab1daf5920df4026
,2,https://app.heygen.com/videos/142cb46197f94d9c92fa3b6fce9bc62e
,3,https://app.heygen.com/videos/90ba544646694c4d8a814a3d727c4e02
,4,https://app.heygen.com/videos/25c41ff989424714902ce67bcd818709
,5,https://app.heygen.com/videos/8a83c7f033ea4a5882401eb486cd27b4
,6,https://app.heygen.com/videos/641ef7dceb7544e9944369304b793982
,7,https://app.heygen.com/videos/1bb053d6c8ef48f8a3ed0d8a13132031
,,
How to Register an E.I.N,1,https://app.heygen.com/videos/d32d6fc07e214d228cc6341395813f2f
,2,https://app.heygen.com/videos/be6dd5c944d1422f941326955aa7213c
,3,https://app.heygen.com/videos/38d54975e96243a8b76e3026ee98b4ea
,4,https://app.heygen.com/videos/a913bb5a97d14fd78e28c2d675edbd50
,5,https://app.heygen.com/videos/5160fcf335a84fed8df1088198d2a582
,6,https://app.heygen.com/videos/b274bd4004704419b9a67bdb37837269
,7,https://app.heygen.com/videos/63cb9d29ed774b6bbe68719af5897255
,,
How to Register with a P.R.O,1,https://app.heygen.com/videos/ab0bec2342d3450184f893cb7c8061ea
,2,https://app.heygen.com/videos/715f80cb747a47499fc3b1c3205dff8f
,3,https://app.heygen.com/videos/5897865b81bd4caab388374c8ffb3125
,4,https://app.heygen.com/videos/c8a68ddeb3bf49f799d553d2653a2981
,5,https://app.heygen.com/videos/c268640f23674a94baba8bb5d444b540
,6,https://app.heygen.com/videos/9237e8668e5d4c9b98091d1bc2c44755
,7,https://app.heygen.com/videos/6480187eb1e1462c852c499aede246e0
,,
